entry-level domain,questionnaire domain,Field Label,"Choices, Calculations, OR Slider Labels",Section Header,Form Display Name,Form Name,Field Type,Variable / Field Name,Allow,Questionnaire,Form Name with spaces,Text Validation Min,Text Validation Max,,title plus question formula,original question
,Processing speed,"Processing speed (LEAF)&#10;&#10;Has trouble completing work quickly, even when motivated to do well.","0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Processing speed (LEAF),Processing_speed,1,59,autoAdvance,LEAF,Processing speed,,,,"Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Has trouble completing work quickly, even when motivated to do well.","Has trouble completing work quickly, even when motivated to do well."
,Processing speed,Processing speed (LEAF)&#10;&#10;Works deliberately and slowly on schoolwork and homework.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Processing speed (LEAF),Processing_speed,1,60,autoAdvance,LEAF,Processing speed,,,,Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Works deliberately and slowly on schoolwork and homework.,Works deliberately and slowly on schoolwork and homework.
,Processing speed,Processing speed (LEAF)&#10;&#10;Writes and/or reads slowly.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Processing speed (LEAF),Processing_speed,1,61,autoAdvance,LEAF,Processing speed,,,,Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Writes and/or reads slowly.,Writes and/or reads slowly.
,Processing speed,Processing speed (LEAF)&#10;&#10;Needs extra time to complete tests or other work.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Processing speed (LEAF),Processing_speed,1,62,autoAdvance,LEAF,Processing speed,,,,Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Needs extra time to complete tests or other work.,Needs extra time to complete tests or other work.
,Processing speed,Processing speed (LEAF)&#10;&#10;Is slow to get started on things.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Processing speed (LEAF),Processing_speed,1,63,autoAdvance,LEAF,Processing speed,,,,Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Is slow to get started on things.,Is slow to get started on things.
,Processing speed,Processing speed (LEAF)&#10;&#10;Comment,,,Processing speed (LEAF),Processing_speed,4,64,dontKnow,LEAF,Processing speed,,,,Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Comment,Comment
,Processing speed,"Processing speed (LEAF)&#10;&#10;Dummy question, please ignore",,,Processing speed (LEAF),Processing_speed,4,1064,dontKnow,LEAF,Processing speed,,,,"Processing speed (LEAF)&#10;&#10;Processing speed (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Learning new things (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Learning new things (LEAF),Learning_new_things,4,65,,LEAF,Learning new things,,,,Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Learner ID,Learner ID
,Learning new things,Learning new things (LEAF)&#10;&#10;Struggles when learning new materials.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Learning new things (LEAF),Learning_new_things,1,66,autoAdvance,LEAF,Learning new things,,,,Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Struggles when learning new materials.,Struggles when learning new materials.
,Learning new things,Learning new things (LEAF)&#10;&#10;Does not solve problems independently (needs help on new problems).,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Learning new things (LEAF),Learning_new_things,1,67,autoAdvance,LEAF,Learning new things,,,,Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Does not solve problems independently (needs help on new problems).,Does not solve problems independently (needs help on new problems).
,Learning new things,"Learning new things (LEAF)&#10;&#10;Resists learning anything that is unfamiliar, new, or different.","0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Learning new things (LEAF),Learning_new_things,1,68,autoAdvance,LEAF,Learning new things,,,,"Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Resists learning anything that is unfamiliar, new, or different.","Resists learning anything that is unfamiliar, new, or different."
,Learning new things,"Learning new things (LEAF)&#10;&#10;Has difficulty with new situations, new people, or unfamiliar settings.","0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Learning new things (LEAF),Learning_new_things,1,69,autoAdvance,LEAF,Learning new things,,,,"Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Has difficulty with new situations, new people, or unfamiliar settings.","Has difficulty with new situations, new people, or unfamiliar settings."
,Learning new things,Learning new things (LEAF)&#10;&#10;Avoids new experiences.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Learning new things (LEAF),Learning_new_things,1,70,autoAdvance,LEAF,Learning new things,,,,Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Avoids new experiences.,Avoids new experiences.
,Learning new things,Learning new things (LEAF)&#10;&#10;Comment,,,Learning new things (LEAF),Learning_new_things,4,71,dontKnow,LEAF,Learning new things,,,,Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Comment,Comment
,Learning new things,"Learning new things (LEAF)&#10;&#10;Dummy question, please ignore",,,Learning new things (LEAF),Learning_new_things,4,1071,dontKnow,LEAF,Learning new things,,,,"Learning new things (LEAF)&#10;&#10;Learning new things (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Visual-Spatial Organization (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,4,72,,LEAF,Visual-Spatial Organization,,,,Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Learner ID,Learner ID
,Visual-Spatial Organization,Visual-Spatial Organization (LEAF)&#10;&#10;Poor organization.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,1,73,autoAdvance,LEAF,Visual-Spatial Organization,,,,Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Poor organization.,Poor organization.
,Visual-Spatial Organization,"Visual-Spatial Organization (LEAF)&#10;&#10;Room, desk, locker, work area, etc. is very messy.","0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,1,74,autoAdvance,LEAF,Visual-Spatial Organization,,,,"Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Room, desk, locker, work area, etc. is very messy.","Room, desk, locker, work area, etc. is very messy."
,Visual-Spatial Organization,Visual-Spatial Organization (LEAF)&#10;&#10;Not very good with puzzles or putting things together.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,1,75,autoAdvance,LEAF,Visual-Spatial Organization,,,,Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Not very good with puzzles or putting things together.,Not very good with puzzles or putting things together.
,Visual-Spatial Organization,Visual-Spatial Organization (LEAF)&#10;&#10;Drawing and/or handwriting is poor.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,1,76,autoAdvance,LEAF,Visual-Spatial Organization,,,,Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Drawing and/or handwriting is poor.,Drawing and/or handwriting is poor.
,Visual-Spatial Organization,Visual-Spatial Organization (LEAF)&#10;&#10;Doesn’t pay attention to visual details in the environment.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,1,77,autoAdvance,LEAF,Visual-Spatial Organization,,,,Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Doesn’t pay attention to visual details in the environment.,Doesn’t pay attention to visual details in the environment.
,Visual-Spatial Organization,Visual-Spatial Organization (LEAF)&#10;&#10;Comment,,,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,4,78,dontKnow,LEAF,Visual-Spatial Organization,,,,Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Comment,Comment
,Visual-Spatial Organization,"Visual-Spatial Organization (LEAF)&#10;&#10;Dummy question, please ignore",,,Visual-Spatial Organization (LEAF),Visual-Spatial_Organization,4,1078,dontKnow,LEAF,Visual-Spatial Organization,,,,"Visual-Spatial Organization (LEAF)&#10;&#10;Visual-Spatial Organization (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Planning and organization (LEAF)&#10;&#10;Learner ID,,Please answer the following questions based on this child’s behavior. Please answer all questions (make your best guess if you are uncertain).  ,Planning and organization (LEAF),Planning_and_organization,4,79,,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Learner ID,Learner ID
,Planning and organization,Planning and organization (LEAF)&#10;&#10;Doesn’t plan ahead.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Planning and organization (LEAF),Planning_and_organization,1,80,autoAdvance,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Doesn’t plan ahead.,Doesn’t plan ahead.
,Planning and organization,Planning and organization (LEAF)&#10;&#10;Doesn’t learn from punishment or other past experiences.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Planning and organization (LEAF),Planning_and_organization,1,81,autoAdvance,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Doesn’t learn from punishment or other past experiences.,Doesn’t learn from punishment or other past experiences.
,Planning and organization,Planning and organization (LEAF)&#10;&#10;Has trouble with long assignments or multistep directions.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Planning and organization (LEAF),Planning_and_organization,1,82,autoAdvance,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Has trouble with long assignments or multistep directions.,Has trouble with long assignments or multistep directions.
,Planning and organization,Planning and organization (LEAF)&#10;&#10;Loses track of step-by-step directions.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Planning and organization (LEAF),Planning_and_organization,1,83,autoAdvance,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Loses track of step-by-step directions.,Loses track of step-by-step directions.
,Planning and organization,Planning and organization (LEAF)&#10;&#10;Doesn’t complete tasks in proper order; Haphazard in approaching problems.,"0=Never (Not a problem; Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems; Happens almost every day), 3=Very Often (Major daily problem)",,Planning and organization (LEAF),Planning_and_organization,1,84,autoAdvance,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Doesn’t complete tasks in proper order; Haphazard in approaching problems.,Doesn’t complete tasks in proper order; Haphazard in approaching problems.
,Planning and organization,Planning and organization (LEAF)&#10;&#10;Comment,,,Planning and organization (LEAF),Planning_and_organization,4,85,dontKnow,LEAF,Planning and organization,,,,Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Comment,Comment
,Planning and organization,"Planning and organization (LEAF)&#10;&#10;Dummy question, please ignore",,,Planning and organization (LEAF),Planning_and_organization,4,1085,dontKnow,LEAF,Planning and organization,,,,"Planning and organization (LEAF)&#10;&#10;Planning and organization (LEAF)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Language (5-15)&#10;&#10;Learner ID,,"Choose the statement that you think best corresponds to your student's functioning in everyday situations, compared to children of their own age. Have in mind the student's present functioning, i.e. within the last 6 months. To get the most correct picture of your student's functioning, it is important that you complete the whole questionnaire.",Language (5-15),Language,4,86,,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Learner ID,Learner ID
,Language,Language (5-15)&#10;&#10;Difficulty understanding explanations and instructions,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,87,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty understanding explanations and instructions,Difficulty understanding explanations and instructions
,Language,Language (5-15)&#10;&#10;Difficulty following stories read aloud,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,88,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty following stories read aloud,Difficulty following stories read aloud
,Language,"Language (5-15)&#10;&#10;Difficulty perceiving what other people say (often says “what?”, ”what do you mean?”)","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,89,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty perceiving what other people say (often says “what?”, ”what do you mean?”)","Difficulty perceiving what other people say (often says “what?”, ”what do you mean?”)"
,Language,"Language (5-15)&#10;&#10;Difficulty with abstract concepts such as “the day after tomorrow”, ”in the right order”","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,90,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty with abstract concepts such as “the day after tomorrow”, ”in the right order”","Difficulty with abstract concepts such as “the day after tomorrow”, ”in the right order”"
,Language,Language (5-15)&#10;&#10;Tends to misinterpret what is said,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,91,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Tends to misinterpret what is said,Tends to misinterpret what is said
,Language,Language (5-15)&#10;&#10;Uncertain of speech sounds and tends to misarticulate words,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,92,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Uncertain of speech sounds and tends to misarticulate words,Uncertain of speech sounds and tends to misarticulate words
,Language,"Language (5-15)&#10;&#10;Difficulty learning the names of colors, people, letters etc","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,93,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty learning the names of colors, people, letters etc","Difficulty learning the names of colors, people, letters etc"
,Language,"Language (5-15)&#10;&#10;Difficulty finding words or explaining to other people, says: “the, the, the ...”","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,94,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty finding words or explaining to other people, says: “the, the, the ...”","Difficulty finding words or explaining to other people, says: “the, the, the ...”"
,Language,"Language (5-15)&#10;&#10;Tends to remember words incorrectly, says ”arm bow” instead of ”elbow”, refers to ”pointer” instead of ”index” etc.","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,95,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Tends to remember words incorrectly, says ”arm bow” instead of ”elbow”, refers to ”pointer” instead of ”index” etc.","Tends to remember words incorrectly, says ”arm bow” instead of ”elbow”, refers to ”pointer” instead of ”index” etc."
,Language,Language (5-15)&#10;&#10;Difficulty explaining what he/she wants,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,96,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty explaining what he/she wants,Difficulty explaining what he/she wants
,Language,Language (5-15)&#10;&#10;Difficulty speaking fluently without any breaks,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,97,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty speaking fluently without any breaks,Difficulty speaking fluently without any breaks
,Language,"Language (5-15)&#10;&#10;Difficulty expressing him/herself in whole sentences, in grammatically correct sentences, or inflecting words","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,98,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty expressing him/herself in whole sentences, in grammatically correct sentences, or inflecting words","Difficulty expressing him/herself in whole sentences, in grammatically correct sentences, or inflecting words"
,Language,"Language (5-15)&#10;&#10;Pronounces specific sounds incorrectly (has a lisp, difficulty pronouncing the sound of ”r”, nasal voice etc.)","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,99,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Pronounces specific sounds incorrectly (has a lisp, difficulty pronouncing the sound of ”r”, nasal voice etc.)","Pronounces specific sounds incorrectly (has a lisp, difficulty pronouncing the sound of ”r”, nasal voice etc.)"
,Language,"Language (5-15)&#10;&#10;Difficulty pronouncing complex words such as ”electric”, ”screwdriver” etc.","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,100,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty pronouncing complex words such as ”electric”, ”screwdriver” etc.","Difficulty pronouncing complex words such as ”electric”, ”screwdriver” etc."
,Language,Language (5-15)&#10;&#10;Has a hoarse voice,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,101,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Has a hoarse voice,Has a hoarse voice
,Language,Language (5-15)&#10;&#10;Stutters,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,102,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Stutters,Stutters
,Language,Language (5-15)&#10;&#10;Speaks so rapidly that it is difficult to comprehend what he/she is saying,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,103,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Speaks so rapidly that it is difficult to comprehend what he/she is saying,Speaks so rapidly that it is difficult to comprehend what he/she is saying
,Language,Language (5-15)&#10;&#10;Has a muddled speech,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,104,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Has a muddled speech,Has a muddled speech
,Language,"Language (5-15)&#10;&#10;Difficulty telling about experiences or situations so that the listener understands (e.g., what happened during the day or during the summer vacation)","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,105,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty telling about experiences or situations so that the listener understands (e.g., what happened during the day or during the summer vacation)","Difficulty telling about experiences or situations so that the listener understands (e.g., what happened during the day or during the summer vacation)"
,Language,Language (5-15)&#10;&#10;Difficulty keeping ”on track” when telling other people something,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,106,autoAdvance,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty keeping ”on track” when telling other people something,Difficulty keeping ”on track” when telling other people something
,Language,"Language (5-15)&#10;&#10;Difficulty taking part in a conversation, e.g., problems shifting from listening to talking","0=Does not apply, 1=Applies sometimes, 2=Applies",,Language (5-15),Language,1,107,autoAdvance,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Difficulty taking part in a conversation, e.g., problems shifting from listening to talking","Difficulty taking part in a conversation, e.g., problems shifting from listening to talking"
,Language,Language (5-15)&#10;&#10;Comment,,,Language (5-15),Language,4,108,dontKnow,5-15,Language,,,,Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Comment,Comment
,Language,"Language (5-15)&#10;&#10;Dummy question, please ignore",,,Language (5-15),Language,4,1108,dontKnow,5-15,Language,,,,"Language (5-15)&#10;&#10;Language (5-15)&#10;&#10;Dummy question, please ignore","Dummy question, please ignore"
,,Motor skills (5-15)&#10;&#10;Learner ID,,"Choose the statement that you think best corresponds to your student's functioning in everyday situations, compared to children of their own age. Have in mind the student's present functioning, i.e. within the last 6 months. To get the most correct picture of your student's functioning, it is important that you complete the whole questionnaire.",Motor skills (5-15),Motor_Skills,4,109,,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Learner ID,Learner ID
,Motor Skills,"Motor skills (5-15)&#10;&#10;Difficulty acquiring new motor skills, such as learning how to ride a bike, skate, swim","0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,110,autoAdvance,5-15,Motor Skills,,,,"Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty acquiring new motor skills, such as learning how to ride a bike, skate, swim","Difficulty acquiring new motor skills, such as learning how to ride a bike, skate, swim"
,Motor Skills,Motor skills (5-15)&#10;&#10;Difficulty throwing and catching a ball,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,111,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty throwing and catching a ball,Difficulty throwing and catching a ball
,Motor Skills,Motor skills (5-15)&#10;&#10;Difficulty running fast,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,112,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty running fast,Difficulty running fast
,Motor Skills,"Motor skills (5-15)&#10;&#10;Has difficulties or does not like to participate in game sports such as soccer/football, land hockey, basketball","0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,113,autoAdvance,5-15,Motor Skills,,,,"Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Has difficulties or does not like to participate in game sports such as soccer/football, land hockey, basketball","Has difficulties or does not like to participate in game sports such as soccer/football, land hockey, basketball"
,Motor Skills,"Motor skills (5-15)&#10;&#10;Balance problems; for instance, has difficulty standing on one leg","0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,114,autoAdvance,5-15,Motor Skills,,,,"Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Balance problems; for instance, has difficulty standing on one leg","Balance problems; for instance, has difficulty standing on one leg"
,Motor Skills,Motor skills (5-15)&#10;&#10;Often stumbles and falls,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,115,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Often stumbles and falls,Often stumbles and falls
,Motor Skills,Motor skills (5-15)&#10;&#10;Clumsy or awkward movements,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,116,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Clumsy or awkward movements,Clumsy or awkward movements
,Motor Skills,"Motor skills (5-15)&#10;&#10;Does not like to draw, has difficulties drawing figures that represent something","0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,117,autoAdvance,5-15,Motor Skills,,,,"Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Does not like to draw, has difficulties drawing figures that represent something","Does not like to draw, has difficulties drawing figures that represent something"
,Motor Skills,"Motor skills (5-15)&#10;&#10;Difficulty handling, assembling and manipulating small objects","0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,118,autoAdvance,5-15,Motor Skills,,,,"Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty handling, assembling and manipulating small objects","Difficulty handling, assembling and manipulating small objects"
,Motor Skills,Motor skills (5-15)&#10;&#10;Difficulty pouring water into a glass without spilling,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,119,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty pouring water into a glass without spilling,Difficulty pouring water into a glass without spilling
,Motor Skills,Motor skills (5-15)&#10;&#10;Often spills food onto clothes or table when eating,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,120,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Often spills food onto clothes or table when eating,Often spills food onto clothes or table when eating
,Motor Skills,Motor skills (5-15)&#10;&#10;Difficulty using knife and fork,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,121,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty using knife and fork,Difficulty using knife and fork
,Motor Skills,Motor skills (5-15)&#10;&#10;Difficulty buttoning or tying shoe-laces,"0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,122,autoAdvance,5-15,Motor Skills,,,,Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty buttoning or tying shoe-laces,Difficulty buttoning or tying shoe-laces
,Motor Skills,"Motor skills (5-15)&#10;&#10;Difficulty using a pen (e.g., presses too hard, hand is shaking)","0=Does not apply, 1=Applies sometimes, 2=Applies",,Motor skills (5-15),Motor_Skills,1,123,autoAdvance,5-15,Motor Skills,,,,"Motor skills (5-15)&#10;&#10;Motor skills (5-15)&#10;&#10;Difficulty using a pen (e.g., presses too hard, hand is shaking)","Difficulty using a pen (e.g., presses too hard, hand is shaking)"
