Field Label,Form Display Name,"Choices, Calculations, OR Slider Labels",Section Header,Variable / Field Name,Field Type,Form Name,Allow
Doesn’t “get the point” of what is being said,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,147,1,LEAF,autoAdvance
Doesn’t really understand new learning materials,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,148,1,LEAF,autoAdvance
Struggles when learning new materials,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,149,1,LEAF,autoAdvance
Does not solve problems independently (needs help on new problems),LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,150,1,LEAF,autoAdvance
"Resists learning anything that is unfamiliar, new, or different",LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,151,1,LEAF,autoAdvance
"Has difficulty with new situations, new people, or unfamiliar settings",LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,152,1,LEAF,autoAdvance
Avoids new experiences,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,153,1,LEAF,autoAdvance
Difficulty memorizing information,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,154,1,LEAF,autoAdvance
Doesn’t retain facts well,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,155,1,LEAF,autoAdvance
Has poor memory,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,156,1,LEAF,autoAdvance
Forgets things that he/she has just learned,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,157,1,LEAF,autoAdvance
Remembers the main idea but forgets details,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,158,1,LEAF,autoAdvance
Can’t do more than one thing at a time,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,159,1,LEAF,autoAdvance
Gets overwhelmed if required to learn or attend to a lot of information,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,160,1,LEAF,autoAdvance
"If distracted, loses track of what he/she was doing/learning",LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,161,1,LEAF,autoAdvance
Forgets things that he/she knew how to do a few hours or days before,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,162,1,LEAF,autoAdvance
Gets upset or “shuts down” when challenged with learning,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,163,1,LEAF,autoAdvance
"Has trouble completing work quickly, even when motivated to do well",LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,164,1,LEAF,autoAdvance
Works deliberately and slowly on schoolwork and homework,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,165,1,LEAF,autoAdvance
Writes and/or reads slowly,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,166,1,LEAF,autoAdvance
Needs extra time to complete tests or other work,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,167,1,LEAF,autoAdvance
Is slow to get started on things,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,168,1,LEAF,autoAdvance
Poor organization,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,169,1,LEAF,autoAdvance
"Room, desk, locker, work area, etc",LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,170,1,LEAF,autoAdvance
Not very good with puzzles or putting things together,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,171,1,LEAF,autoAdvance
Drawing and/or handwriting is poor,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,172,1,LEAF,autoAdvance
Doesn’t pay attention to visual details in the environment,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,173,1,LEAF,autoAdvance
Doesn’t plan ahead,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,174,1,LEAF,autoAdvance
Doesn’t learn from punishment or other past experiences,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,175,1,LEAF,autoAdvance
Has trouble with long assignments or multistep directions,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,176,1,LEAF,autoAdvance
Loses track of step-by-step directions,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,177,1,LEAF,autoAdvance
Doesn’t complete tasks in proper order; Haphazard in approaching problems,LEAF,"0=Never (Not a problem, Average for age), 1=Sometimes (A little more than average, Not a big problem), 2=Often (Causes problems, Happens almost every day), 3=Very often (Major daily problem)",,178,1,LEAF,autoAdvance
